"Código SIEX";"Buenas prácticas";"Ámbito";Fecha de alta;Fecha de modificación;Fecha de baja
"24";"En cultivos con riego por inundación, el abonado nitrogenado se aplicará cuando el suelo se encuentre en sazón y se enterrará inmediatamente mediante una labor.";"Fertilización";25/11/2025;;
"24";"En cultivos con riego por inundación, el abonado nitrogenado se aplicará cuando el suelo se encuentre en sazón y se enterrará inmediatamente mediante una labor.";"Riego";25/11/2025;;
"25";"En los cultivos con riego localizado, la fertilización se efectuará disolviendo los abonos en el agua de riego y aplicándolos al suelo a través de ésta. Éstos se dosificarán fraccionadamente, durante el periodo de actividad vegetativa del cultivo, pudiéndose adaptar las concentraciones y las cantidades parciales aportadas a los momentos de mayor requerimiento dentro del ciclo del cultivo.";"Fertilización";25/11/2025;;
"25";"En los cultivos con riego localizado, la fertilización se efectuará disolviendo los abonos en el agua de riego y aplicándolos al suelo a través de ésta. Éstos se dosificarán fraccionadamente, durante el periodo de actividad vegetativa del cultivo, pudiéndose adaptar las concentraciones y las cantidades parciales aportadas a los momentos de mayor requerimiento dentro del ciclo del cultivo.";"Riego";25/11/2025;;
"26";"En el riego localizado, el número de emisores por árbol, el volumen de agua aportado por cada uno de ellos y la frecuencia de riego se recomienda que se establezcan en función de la textura del terreno, de forma que se consiga ajustar la superficie mojada a la profundidad radicular efectiva suficiente para el cultivo y así evitar problemas de saturación, de humedad o de pérdidas de agua en profundidad.";"Riego";25/11/2025;;
"27";"El aporte de nutrientes conjuntamente con el agua de riego se deberá ajustar de modo que la concentración de nutrientes sea lo más baja posible, adaptándose a su vez a las necesidades hídricas del cultivo. Así mismo, los nutrientes deberán aplicarse en los momentos de máximo requerimiento de cada nutriente, de modo que se maximice el aprovechamiento por parte del cultivo y la efectividad del abonado y se reduzca, así, la acumulación en el suelo de nutrientes en forma de sales.";"Fertilización";25/11/2025;;
"27";"El aporte de nutrientes conjuntamente con el agua de riego se deberá ajustar de modo que la concentración de nutrientes sea lo más baja posible, adaptándose a su vez a las necesidades hídricas del cultivo. Así mismo, los nutrientes deberán aplicarse en los momentos de máximo requerimiento de cada nutriente, de modo que se maximice el aprovechamiento por parte del cultivo y la efectividad del abonado y se reduzca, así, la acumulación en el suelo de nutrientes en forma de sales.";"Riego";25/11/2025;;
"28";"Utilización de acolchados (mulching)";"Riego";25/11/2025;;18/05/2026
"28";"Utilización de acolchados (mulching)";"Fitosanitario";24/04/2026;;
"29";"Siembra directa";"Riego";25/11/2025;;18/05/2026
"29";"Siembra directa";"Fitosanitario";24/04/2026;;
"30";"Mínimo laboreo";"Riego";25/11/2025;;18/05/2026
"30";"Mínimo laboreo";"Fitosanitario";24/04/2026;;
"31";"Diseño en línea clave (""key-line"")";"Fertilización";25/11/2025;;
"31";"Diseño en línea clave (""key-line"")";"Riego";25/11/2025;;
"32";"Utilización de mallas antigranizo";"Riego";25/11/2025;;18/05/2026
"33";"Riego por aspersión nocturno";"Riego";25/11/2025;;
"34";"Riego deficitario controlado (RDC)";"Riego";25/11/2025;;
"35";"Siembra en seco (arroz)";"Riego";25/11/2025;;
"36";"Monitorización de condiciones del suelo, clima y cultivo en tiempo real con sensores IoT";"Fertilización";25/11/2025;;
"36";"Monitorización de condiciones del suelo, clima y cultivo en tiempo real con sensores IoT";"Riego";25/11/2025;;
"36";"Monitorización de condiciones del suelo, clima y cultivo en tiempo real con sensores IoT";"Fitosanitario";24/04/2026;;
"37";"Uso de drones y satélites para el monitoreo geoespacial de cultivos";"Fertilización";25/11/2025;;
"37";"Uso de drones y satélites para el monitoreo geoespacial de cultivos";"Riego";25/11/2025;;
"37";"Uso de drones y satélites para el monitoreo geoespacial de cultivos";"Fitosanitario";24/04/2026;;
"38";"Análisis de datos agrícolas y apoyo a la toma de decisiones (DSS)";"Fertilización";25/11/2025;;
"38";"Análisis de datos agrícolas y apoyo a la toma de decisiones (DSS)";"Riego";25/11/2025;;
"38";"Análisis de datos agrícolas y apoyo a la toma de decisiones (DSS)";"Fitosanitario";24/04/2026;;
"39";"Aplicación variable de insumos con equipos de precisión";"Fertilización";25/11/2025;;
"39";"Aplicación variable de insumos con equipos de precisión";"Riego";25/11/2025;;
"40";"Manejo de maquinaria agrícola equipada con tecnología de precisión";"Fertilización";24/04/2026;;
"40";"Manejo de maquinaria agrícola equipada con tecnología de precisión";"Riego";25/11/2025;;
"40";"Manejo de maquinaria agrícola equipada con tecnología de precisión";"Fitosanitario";24/04/2026;;
"41";"Implementación de sistemas de riego automatizado";"Riego";25/11/2025;;
"42";"Uso de drones para aplicación precisa de insumos agrícolas";"Fertilización";25/11/2025;;
"42";"Uso de drones para aplicación precisa de insumos agrícolas";"Fitosanitario";24/04/2026;;
"43";"Comunicación en campo mediante redes de sensores inalámbricos";"Fertilización";25/11/2025;;
"43";"Comunicación en campo mediante redes de sensores inalámbricos";"Riego";25/11/2025;;
"43";"Comunicación en campo mediante redes de sensores inalámbricos";"Fitosanitario";24/04/2026;;
"44";"Acceso a información y servicios agrícolas a través de aplicaciones móviles";"Fertilización";25/11/2025;;
"44";"Acceso a información y servicios agrícolas a través de aplicaciones móviles";"Riego";25/11/2025;;
"45";"Gestión de la explotación agrícola mediante software específico";"Fertilización";25/11/2025;;
"45";"Gestión de la explotación agrícola mediante software específico";"Riego";25/11/2025;;
"45";"Gestión de la explotación agrícola mediante software específico";"Fitosanitario";24/04/2026;;
"46";"Limpieza y desinfección - Mantener limpias las instalaciones, equipos, vehículos y bebederos";"Fertilización";25/11/2025;;
"46";"Limpieza y desinfección - Mantener limpias las instalaciones, equipos, vehículos y bebederos";"Riego";25/11/2025;;
"46";"Limpieza y desinfección - Mantener limpias las instalaciones, equipos, vehículos y bebederos";"Fitosanitario";24/04/2026;;
"47";"Formación continua del personal - Capacitar al personal en bienestar, sanidad, higiene, manejo y bioseguridad";"Fertilización";25/11/2025;;
"47";"Formación continua del personal - Capacitar al personal en bienestar, sanidad, higiene, manejo y bioseguridad";"Riego";25/11/2025;;
"47";"Formación continua del personal - Capacitar al personal en bienestar, sanidad, higiene, manejo y bioseguridad";"Fitosanitario";24/04/2026;;
"48";"Evaluación y mejora continua - Revisar resultados productivos, sanitarios y ambientales para ajustar prácticas";"Fertilización";25/11/2025;;
"48";"Evaluación y mejora continua - Revisar resultados productivos, sanitarios y ambientales para ajustar prácticas";"Riego";25/11/2025;;
"49";"Rotación de cultivos";"Fertilización";24/04/2026;;
"49";"Rotación de cultivos";"Riego";24/04/2026;;18/05/2026
"49";"Rotación de cultivos";"Fitosanitario";24/04/2026;;
"50";"Utilización de variedades resistentes";"Fitosanitario";24/04/2026;;
"51";"Protección de los organismos beneficiosos (con medidas fitosanitarias específicas, utilizando infraestructuras ecológicas que aumenten la biodiversidad, estableciendo márgenes multifuncionales para la mejora de la biodiversidad y fomento de la fauna útil, etc.)";"Fitosanitario";24/04/2026;;
"52";"Monitorización de plagas, enfermedades y malas hierbas";"Fitosanitario";24/04/2026;;
"53";"Establecimiento de umbrales de intervención fitosanitaria";"Fitosanitario";24/04/2026;;
"54";"Aplicación de productos fitosanitarios de bajo riesgo";"Fitosanitario";24/04/2026;24/04/2026;
"55";"Seguimiento de una estrategia anti-resistencias en el uso de productos fitosanitarios";"Fitosanitario";24/04/2026;;
"56";"Seguimiento de la efectividad de la intervención fitosanitaria";"Fitosanitario";24/04/2026;;
"57";"Maquinaria autónoma: Tractores y otros equipos agrícolas que pueden operar sin intervención humana";"Fertilización";24/04/2026;;
"57";"Maquinaria autónoma: Tractores y otros equipos agrícolas que pueden operar sin intervención humana";"Fitosanitario";24/04/2026;;
"58";"Uso de sistemas de transferencia cerrados para realizar la carga en el tanque de aplicación";"Fertilización";24/04/2026;;
"58";"Uso de sistemas de transferencia cerrados para realizar la carga en el tanque de aplicación";"Fitosanitario";24/04/2026;;
"59";"Utilización de endoterapia";"Fitosanitario";24/04/2026;;
